Primary_Critical_Material,Project_Name,State,County,Nearest_Population_Center,Population_Size,Additional_Location_Information,Mining_District,Mineral_Occurrence,Mining_Method,Co-Producing_Materials,Existing_Mine,Status_of_Project,Regulatory_Challenges,Lead_Developer,Location_of_Lead_Developer_HQ,Lead_Developer_Website,Parent_Company,Location_of_Parent_Company_HQ,Was_There_Change_in_Ownership_during_Project?,Planned_Production_Capacity_(Thousands_of_Tons/Year),Planned_Lifespan_of_Mine__(Years),Processing_Plan_in_US,Processing_Plan_Elsewhere_in_North_America,Processing_Done_by_the_Same_Lead_Developer/Parent_Company,Total_Capital_Costs__(Millions_of_Dollars),Number_of_Federal_Awards,Federal_Agency,Year_Granted,Grant/Loan,Amount__(Millions_of_Dollars),Purpose_of_Support,Public_Supply_Agreement_w/_an_Automaker_or_Battery/Component_Producer,Type_of_Land,Public_Land_Ownership,Year_of_Land_Acquisition,Local,State.1,Federal,Local.1,State.2,Federal.1,Evidence_of_Litigation,Number_of_Cases,State_and/or_Federal,Court_Rulings_Issued,Level_of_Court,Link_to_Judicial_Decision,Community_Residents/Groups,Indigenous_Groups,Environmental_Groups,Scale_of_Environmental_Group(s),Commercial_Groups,Recreational_Groups,Other,Evidence_of_Organized_Protest(s),Land_Use__(Built_Environment),Impacts_to_Natural_Environment,"Site_of_Historical,_Cultural,_Spiritual_Significance",Traffic_&_Noise,Air_Quality,Water_Supply,Water_Quality,Impact_on_Species,Classification_of_Species_Impacted_(If_Applicable),Recreation,Agriculture,Subsistence_Hunting/Fishing,Historical_Mining_or_Reclamation_Issues,Reputation_of_the_Developer/Parent_Company,Inadequate_Community_Engagement,Waste_Management,Other.1,Community_Residents/Groups.1,Commercial_Groups.1,Other.2,Economic_Growth,Tax_Revenue,Employment,Community_Development,Replace_Lost_Industries,Historical_Mining_Experience,Geopolitical/Security,Clean_Energy_Transition,Cleaner_than_Other_Sources,Other.3,Location_String,Latitude,Longitude
Nickel,Eagle,Michigan,Marquette,"Big Bay, MI",257.0,True,Marquette Gold,,Underground,Copper,Yes-- Active,Active -- No Expansion Plan,Yes,Lundin Mining Corp,US,https://www.eaglemine.com/,Lundin Mining Corp,CA,True,17.0,6,True,False,True,,1.0,DOD,2023,Grant,20.0,Explore in MI and MN,False,Private,,,False,True,True,False,False,True,True,2.0,State,True,District & Appeals,http://www.keweenawreport.com/wp-content/uploads/2014/08/Water-Discharge-Decision-Court-of-Appeals-2014-08-13.pdf. http://www.keweenawreport.com/wp-content/uploads/2014/08/Mining-Permit-Decision-Court-of-Appeals-2014-08-13.pdf. ,True,True,True,Local/Regional & National,True,True,False,True,False,True,True,True,True,False,True,True,,True,False,True,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,False,True,False,"Big Bay, MI, Michigan",46.815757,-87.728464
Nickel,Mesaba,Minnesota,Saint Louis,"Babbitt, MN",1383.0,True,,Duluth Complex,Surface,"Copper, Cobalt",Yes-- Abandoned,Exploration,No,NewRange Copper Nickel,CA/US,https://www.newrangecoppernickel.com/,Teck/PolyMet Mining,CA,True,11023.1,20,False,False,False,1000,,,,,,,False,Private,,,False,False,False,False,False,False,False,,,False,,,False,True,True,Local/Regional,False,False,False,False,False,True,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,"Babbitt, MN, Minnesota",47.7087143,-91.9440871
Nickel,Michigan Nickel-Copper Properties,Michigan,Marquette,"Big Bay, MI",257.0,True,Marquette Gold,,Undetermined,,Yes-- Abandoned,Development,No,Talon Metals,BVI,https://talonmetals.com,Talon Metals Corp,UK,True,,21.8,True,False,False,,3.0,DOD & DOE,2022/2023/2024,Grant,157.0,,False,Public and Private,State,,True,True,False,False,False,False,False,,,False,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Big Bay, MI, Michigan",46.815757,-87.728464
Nickel,Nikolai,Alaska,Fairbanks,"Paxson, AK",26.0,True,Delta River Mining District,,Surface,"Copper, Cobalt, Chromium, Iron, Silver",No-- New Development,Exploration,No,Alaska Energy Metals Corporation,CA,https://alaskaenergymetals.com/projects/nikolai/.,,,True,,,False,False,False,,,,,,,"Feasibility, Prospecting, Processing",False,Public,State,,False,False,False,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Paxson, AK, Alaska",63.0084395,-145.7509597
Nickel,NorthMet,Minnesota,Saint Louis,"Babbitt, MN",1397.0,True,,Mesabi Iron Range,Surface,Copper,Yes-- Abandoned,Delayed Indefinitely,Yes,NewRange Copper Nickel,CA/CH,https://www.newrangecoppernickel.com/,Teck/PolyMet Mining,CA,True,4.0,20,False,False,False,1000,,,,,,,False,Public and Private,USFS/State,,True,True,False,False,False,True,True,2.0,State,True,"District, Appeals, Supreme",https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwaterlegacy.org%2Fwp-content%2Fuploads%2F2023%2F08%2F2023-08-02-MN-S-Ct-Opinion-MPCA-PolyMet-NPDES-Published.pdf&data=05%7C02%7Cshahalin%40iu.edu%7Cd64be31efca144a9b7f308dd261a9fb4%7C1113be34aed14d00ab4bcdd02510be91%7C0%7C0%7C638708617976441665%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=eJB6QazzVy6mRtoJYS5rjbKaY%2F9y3Zlko%2B33ww40q%2FI%3D&reserved=0,True,True,True,Local/Regional,False,False,False,False,True,True,True,False,False,True,True,False,,True,True,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,"Babbitt, MN, Minnesota",47.7087143,-91.9440871
Nickel,Sawyer Camp,,,,,False,,,,,,,,,,,,,False,,,False,False,False,,,,,,,,False,,,,False,False,False,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"nan, nan",18.7778874,100.773732
Nickel,Tamarack,Minnesota,Aitkin,"Tamarack, MN",57.0,True,,Cuyuna Iron Range,Surface,"Copper, Cobalt",No-- New Development,Development,Yes,Talon Metals,BVI,https://talonmetals.com,Talon Metals Corp,UK,False,142.0,9,True,False,True,395,2.0,DOD & DOE,2022/2024,Grant,134.0,Processing/Exploration,True,Public and Private,State,,False,False,True,False,False,False,False,,,False,,,True,True,True,Local/Regional,False,False,False,False,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,"Tamarack, MN, Minnesota",46.6443915,-93.1271635
Graphite,BAMA,,,,,False,,,,,,,,,,,,,False,,,False,False,False,,,,,,,,False,,,,False,False,False,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"nan, nan",18.7778874,100.773732
Graphite,BamaStar,Alabama,Coosa,"Alexander City, AL",18843.0,True,,Alabama Graphite Belt,Surface,,Yes-- Abandoned,Exploration,No,South Star Battery Metals Corp,CA,https://www.southstarbatterymetals.com/ceylon-graphite-project/,,,True,27.6,,True,False,False,,1.0,DOD,2023,Grant,3.2,Feasibility Study,False,Private,,,False,True,True,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Alexander City, AL, Alabama",32.944012,-85.9538532
Graphite,Coosa,Alabama,Coosa,"Sylacauga, AL",12578.0,True,,Alabama Graphite Belt,Surface,,No-- New Development,Development,No,Alabama Graphite,CA,https://westwaterresources.net/projects/graphite/coosa-graphite-project/,"Westwater Resources, Inc",US,False,52.0,19,True,False,True,336,1.0,DOD,,,3.2,Feasibility Study,False,Private,,2012.0,True,True,True,False,False,False,False,,,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Sylacauga, AL, Alabama",33.170482,-86.2514099
Graphite,Graphite Creek,Alaska,Nome Census Area,"Nome, AK",3699.0,True,Port Clarence,,Surface,,No-- New Development,Exploration,Yes,Graphite One Resources,CA,https://www.graphiteoneinc.com,,,False,17000.0,22,True,False,True,363,1.0,DOD,2023,Grant,37.5,Feasibility Study,False,Public,State,,True,True,True,True,False,False,False,,,False,,,True,True,True,Local/Regional,False,False,False,False,False,True,True,False,False,False,True,True,,False,False,True,False,False,True,False,False,True,True,False,True,False,True,True,True,False,True,False,False,False,"Nome, AK, Alaska",64.4975098,-165.4061701
Manganese,Emily/Cuyuna,Minnesota,Crow Wing,"Cuyuna, MN",296.0,True,Cuyuna Iron Range,Duluth Complex (Maturi Deposit),Surface,Cobalt,Yes-- Abandoned,Exploration,No,North Star Manganese,CA,https://nsmanganese.com,Nevada Silver Corporation,US,True,,,True,False,True,,,,,,,,False,Private,,,True,False,True,True,False,False,False,,,False,,,True,False,True,Local/Regional,False,False,False,False,False,False,False,False,False,True,True,True,Endangered,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,"Cuyuna, MN, Minnesota",46.5169062,-93.9230366
Manganese,Hermosa/Patagonia,Arizona,Santa Cruz,"Nogales, AZ",19770.0,True,Harshaw,,Underground,"Copper, Silver, Lead, Zinc",Yes-- Abandoned,Development,Yes,South 32,AU,https://www.south32.net/what-we-do/our-locations/americas/hermosa,South32,AU,True,226.0,30,True,False,True,1700,2.0,DOD & DOE,2024,Grant,136.0,Manganese project/ Processing,False,Private,,2018.0,True,False,True,True,False,False,True,,Federal,True,District & Circuit,https://cdn.ca9.uscourts.gov/datastore/memoranda/2024/05/15/23-16167.pdf.,True,False,True,Local/Regional & National,False,False,False,False,False,True,False,True,True,True,True,True,Endangered and Threatened,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,"Nogales, AZ, Arizona",31.3402134,-110.936081
