Primary_Critical_Material,Project_Name,Mining_Method,Co-Producing_Materials,Existing_Mine,Status_of_Project,Regulatory_Challenges,State,County,Latitude,Longitude,Nearest_Population_Center,Population_Size,Additional_Location_Information,Mining_District,Mineral_Occurrence,Lead_Developer,Location_of_Lead_Developer_HQ,Lead_Developer_Website,Parent_Company,Location_of_Parent_Company_HQ,Was_There_Change_in_Ownership_during_Project?,Planned_Production_Capacity_(Thousands_of_Tons/Year),Planned_Lifespan_of_Mine__(Years),Processing_Plan_in_US,Processing_Done_by_the_Same_Lead_Developer/Parent_Company,Total_Capital_Costs__(Millions_of_Dollars),Number_of_Federal_Awards,Federal_Agency,Year_Granted,Grant/Loan,Amount__(Millions_of_Dollars),Purpose_of_Support,Public_Supply_Agreement_w/_an_Automaker_or_Battery/Component_Producer,Type_of_Land,Public_Land_Ownership,Year_of_Land_Acquisition,Evidence_of_Litigation,Number_of_Cases,State_and/or_Federal,Court_Rulings_Issued,Level_of_Court,Link_to_Judicial_Decision
Copper,Moonlight-Superior Copper ,Surface,"Silver, Gold ",Yes-- Abandoned,Exploration,Yes,California,Plumas,40.1368465,-120.950578,"Greenville, CA",1026,Yes,Lights Creek ,Arizona Porphyry Copper Belt,US Copper Corporation ,CA,https://uscoppercorp.com/,,,Yes,150.0,17,Yes,Yes,513,,,,,,,-,Private,,,-,,,Yes,,
Copper,Morenci,Surface,,Yes-- Active,Active,No,Arizona,Greenlee,32.8332442,-109.7131838,"Safford, AZ",10271,Yes,Copper Mountain,Arizona Porphyry Copper Belt,Freeport-McMoRan,US,https://www.fcx.com/operations/north-america,,,-,368.2,17,Yes,Yes,,1.0,DOE,2024,Grant,80.0,Geothermal,-,,,,-,,,-,,
Copper,Palmer Copper-Zinc,Undetermined,"Zinc, Silver, Lead, Gold",No-- New Development,Exploration,No,Alaska ,,59.0831232,-135.3430573,"Haines, AK",1657,Yes,,,American Pacific Mining Corporation,CA,https://americanpacificmining.com/news-releases-2024/american-pacific-provides-update-on-drill-programs-at-its-madison-and-palmer-projects/,,,Yes,,,-,-,,,,,,,,-,,,,-,,,-,,
Copper,Pebble,Surface,"Gold, Molybdenum ",No-- New Development,Delayed Indefinitely,Yes,Alaska,,59.800471,-154.8815249,"Iliamna, AK",108,Yes,,,Pebble Limited Partnership,US,https://northerndynastyminerals.com/pebble-project/project-overview/,Northern Dynasty Minerals,CA,-,160.0,20,Yes,Yes,6700,,,,,,,-,Public,State,,Yes,7.0,Federal,-,,
Copper,Pickett Mountain,Surface,"Silver, Gold, Lead",No-- New Development,Delayed Indefinitely,Yes,Maine,Penobscot,45.9960683,-68.4473498,"Patten, MN",771,Yes,Northern Maine Volcanic Belt,,Wolfden Resources Corp,US,https://www.wolfdenresources.com,,,Yes,,2024-10-15 00:00:00,Yes,-,,,,,,,,-,Private,,2017.0,-,,,-,,
Copper,Pinto Valley,Surface,Molybdenum,Yes-- Active,Active,Yes,Arizona,Gila,33.3995392,-110.8709218,"Miami, AZ",1532,Yes,Globe-Miami,,Capstone Copper,US,https://capstonecopper.com/about-us/leadership/,,,Yes,52.6,,Yes,Yes,,,,,,,,-,Public,USFS,2021.0,Yes,1.0,Federal,-,District,
Copper,Pope-Shenon,Underground,,Yes-- Abandoned,Delayed Indefinitely,No,Idaho,Lemhi,45.1759213,-113.895773,"Salmon, ID",3295,Yes,Eureka,,Neuma International Inc,US,Unavailable,,,-,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
Copper,Ray,Surface,,Yes-- Active,Active,Yes,Arizona,Pinal,32.3541987,-111.1039907,"Kearney, AZ",1741,Yes,Mineral Creek,,ASARCO,US, https://www.asarco.com/mines/.,Grupo Mexico,MX,Yes,,,Yes,Yes,,,,,,,,-,Public,BLM,2020.0,Yes,1.0,Federal,Yes,Appeals,https://eplanning.blm.gov/eplanning-ui/project/82268/510
Copper,Resolution Copper,Underground,,Yes-- Abandoned,Development,Yes,Arizona,Pinal,33.293945,-111.09623,"Superior, AZ",2407,Yes,Pioneer,Copper Porphyry Belt,Rio Tinto,UK,https://www.riotinto.com,Rio Tinto International Holdings Limited,UK,-,120.0,40,Yes,-,6000,,,,,,,-,Public,USFS,,Yes,1.0,Federal,Yes,District,https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Fcdn.ca9.uscourts.gov%2Fdatastore%2Fopinions%2F2024%2F03%2F01%2F21-15295.pdf&data=05%7C02%7Cshahalin%40iu.edu%7Cec57a44f6f2a4882cbe508dd26243a59%7C1113be34aed14d00ab4bcdd02510be91%7C0%7C0%7C638708659214284295%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=RFpkN%2BSrT%2FAxCMcxBTpFLPMllLBAeuvHpamrbpyNWjE%3D&reserved=0
Copper,Rock Creek,Underground,Gold,No-- New Development,Delayed Indefinitely,Yes,Montana,Sanders,47.983451,-115.7693553,"Noxon, MT",464,Yes,,,Hecla Mining Company,US,https://www.hecla.com/exploration.,,,Yes,,<20,-,-,,,,,,,,-,Public,USFS,,Yes,,State,Yes,District,https://law.justia.com/cases/montana/supreme-court/2021/da-19-0484.html.
Copper,Safford,Surface,,Yes-- Active,Active -- Expansion Plan,No,Arizona,Graham,32.8332442,-109.7131838,"Safford, AZ",10129,Yes,Safford,Arizona Porphyry Copper Belt,Freeport-McMoRan,US,https://www.fcx.com,,,Yes,122.0,34,Yes,Yes,,1.0,DOE,2024,Grant,80.0,Geothermal,-,Private,,2007.0,-,,,-,,
Copper,Sierrita,Surface,Molybdenum,Yes-- Active,Active -- No Expansion Plan,No,Arizona,Pima,31.8484548,-111.0265945,"Green Valley, AZ",22616,Yes,Pima,Arizona Porphyry Copper Belt,Freeport-McMoRan,US,https://www.fcx.com,,,Yes,85.0,62,Yes,Yes,,,,,,,,-,Private,,,-,,,-,,
Copper,Silver Bell ,Surface,"Molybdenum, Silver",Yes-- Active,Active,Yes,Arizona,Pima,32.23719,-111.0792,"Mirana, AZ",51906,Yes,Silver Bell,,ASARCO,US,https://www.asarco.com/mines/,Grupo Mexico,MX,Yes,,,Yes,Yes,,,,,,,,-,Private,,,-,,,-,,
Copper,Sunnyside Copper,Undetermined,"Silver, Lead, Zinc",Yes-- Active,Exploration,Yes,Arizona,Santa Cruz,31.5402016,-110.753927,"Patagonia, AZ",804,Yes,Harshaw,,Barksdale Resource,CA,https://barksdaleresources.com/projects/arizona-project/99-sunnyside.html#treport,,,Yes,,,-,-,,,,,,,,-,Public,USFS,,Yes,2.0,Federal,Yes,District,https://www.patagoniaalliance.org/wp-content/uploads/2015/09/Sunnyside-Judgment-91515.pdf; https://cdn.ca9.uscourts.gov/datastore/memoranda/2024/05/15/23-16167.pdf 
Copper,Tohono,Surface and Underground,"Molybdenum, Lead, Silver, Zinc, Gold. Silica",Yes-- Abandoned,Delayed Indefinitely,No,Arizona,Pinal,32.8772834,-111.7536818,"Casa Grande, AZ",63743,Yes,N/A ,,Cyprus Tohono Corporation,US,,"Freeport-McMoRan Copper & Gold, Inc.",,-,,,Yes,Yes,,,,,,,,-,Public,,,-,,,-,,
Copper,Tormey,Undetermined,"Molybdenuym, Silver",Yes-- Abandoned,Exploration,No,Idaho ,Lemhi,45.10246,-113.54599,"Salmon, ID",6724,Yes,Eureka,,Idaho Copper (IC) Corporation ,US,https://www.idaho-copper.com/idaho-copper-corp-announces-official-name-and-symbol-change/.,,,-,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
Copper,Twin Metals,Surface,"Silver, Gold, Platinum Group Metals, Nickel",No-- New Development,Delayed Indefinitely,Yes,Minnesota,Saint Louis,47.901571,-91.8572479,"Ely, MN",3268,Yes,Mesabi Iron Range,Duluth Complex (Maturi Deposit),Twin Metals,CL,tps://www.twin-metals.com/meet-twin-metals/about-the-project/,Antofagasta,UK,-,,30,-,-,1700,,,,,,,-,Public,USFS,,Yes,2.0,Federal,Yes,District,https://law.justia.com/cases/federal/district-courts/district-of-columbia/dcdce/1:2022cv02506/246541/62/.
Copper,White Pine North,Underground,,Yes-- Abandoned,Development,No,Michigan,Ontonagon,46.7538361,-89.5840433,"White Pine, MI",339,Yes,,Keweenaw Copper Belt,"White Pine Copper, LLC/Kinterra",CA,https://www.highlandcopper.com/projects/white-pine-north-project/,Highland Copper Inc,CA,Yes,16.5,11,-,-,884,,,,,,,-,Public,,,-,,,-,,
Copper,Yerington,Surface,,Yes-- Abandoned,Exploration,No,Nevada,Lyon,38.9855429,-119.162989,"Yerington, NV",3048,Yes,Yerington Copper District,,Singatse Peak Services,UK,,Lion Copper and Gold Corp,CA,Yes,41.5,12,Yes,Yes,413,,,,,,,-,Public and Private,BLM,,-,,,-,,
Cobalt,Blackpine,Undetermined,"Cupper, Gold",Yes-- Abandoned,Delayed Indefinitely,No,Idaho,Lemhi,45.0926145,-114.2330182,"Cobalt, ID",13,Yes,Blackbird,Idaho Cobalt Belt,Koba Resources Limited,AU,https://kobaresources.com,,,Yes,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
Cobalt,Bonanza,Underground,,Yes-- Abandoned,Delayed Indefinitely,No,Idaho,Lemhi,45.0926145,-114.2330182,"Cobalt, ID",13,Yes,Blackbird,Idaho Cobalt Belt,Battery Mineral Resources,CA,https://bmrcorp.com,Battery Mineral Resources,CA,-,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
