Primary_Critical_Material,Project_Name,Mining_Method,Co-Producing_Materials,Existing_Mine,Status_of_Project,Regulatory_Challenges,State,County,Latitude,Longitude,Nearest_Population_Center,Population_Size,Additional_Location_Information,Mining_District,Mineral_Occurrence,Lead_Developer,Location_of_Lead_Developer_HQ,Lead_Developer_Website,Parent_Company,Location_of_Parent_Company_HQ,Was_There_Change_in_Ownership_during_Project?,Planned_Production_Capacity_(Thousands_of_Tons/Year),Planned_Lifespan_of_Mine__(Years),Processing_Plan_in_US,Processing_Done_by_the_Same_Lead_Developer/Parent_Company,Total_Capital_Costs__(Millions_of_Dollars),Number_of_Federal_Awards,Federal_Agency,Year_Granted,Grant/Loan,Amount__(Millions_of_Dollars),Purpose_of_Support,Public_Supply_Agreement_w/_an_Automaker_or_Battery/Component_Producer,Type_of_Land,Public_Land_Ownership,Year_of_Land_Acquisition,Evidence_of_Litigation,Number_of_Cases,State_and/or_Federal,Court_Rulings_Issued,Level_of_Court,Link_to_Judicial_Decision
Nickel,Mesaba,Surface,"Copper, Cobalt",Yes-- Abandoned,Exploration,No,Minnesota,Saint Louis,47.7087143,-91.9440871,"Babbitt, MN",1383,Yes,,Duluth Complex,NewRange Copper Nickel,CA/US,https://www.newrangecoppernickel.com/,Teck/PolyMet Mining,CA,Yes,11023.1,20,-,-,1000,,,,,,,-,Private,,,-,,,-,,
Nickel,Michigan Nickel-Copper Properties,Undetermined,,Yes-- Abandoned,Development,No,Michigan,Marquette,46.815757,-87.728464,"Big Bay, MI",257,Yes,Marquette Gold,,Talon Metals,BVI,https://talonmetals.com,Talon Metals Corp,UK,Yes,,21.8,Yes,-,,3.0,DOD & DOE,2022/2023/2024,Grant,157.0,,-,Public and Private,State,,-,,,-,,
Nickel,Nikolai,Surface,"Copper, Cobalt, Chromium, Iron, Silver",No-- New Development,Exploration,No,Alaska,Fairbanks,63.0084395,-145.7509597,"Paxson, AK",26,Yes,Delta River Mining District,,Alaska Energy Metals Corporation,CA,https://alaskaenergymetals.com/projects/nikolai/.,,,Yes,,,-,-,,,,,,,"Feasibility, Prospecting, Processing",-,Public,State,,-,,,-,,
Nickel,NorthMet,Surface,Copper,Yes-- Abandoned,Delayed Indefinitely,Yes,Minnesota,Saint Louis,47.7087143,-91.9440871,"Babbitt, MN",1397,Yes,,Mesabi Iron Range,NewRange Copper Nickel,CA/CH,https://www.newrangecoppernickel.com/,Teck/PolyMet Mining,CA,Yes,4.0,20,-,-,1000,,,,,,,-,Public and Private,USFS/State,,Yes,2.0,State,Yes,"District, Appeals, Supreme",https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwaterlegacy.org%2Fwp-content%2Fuploads%2F2023%2F08%2F2023-08-02-MN-S-Ct-Opinion-MPCA-PolyMet-NPDES-Published.pdf&data=05%7C02%7Cshahalin%40iu.edu%7Cd64be31efca144a9b7f308dd261a9fb4%7C1113be34aed14d00ab4bcdd02510be91%7C0%7C0%7C638708617976441665%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=eJB6QazzVy6mRtoJYS5rjbKaY%2F9y3Zlko%2B33ww40q%2FI%3D&reserved=0
Nickel,Sawyer Camp,Undetermined,Copper,No-- New Development,Delayed Indefinitely,No,Michigan,Marquette,18.7778874,100.773732,"Marquette, MI",21079,Yes,,,Global Battery Materials,CA,https://gbml.ca/news-releases/global-battery-metals-to-exit-nickel-copper-exploration-program-at-sawyer-camp/,,,-,,,-,-,,,,,,,,-,,,,-,,,-,,
Nickel,Tamarack,Surface,"Copper, Cobalt",No-- New Development,Development,Yes,Minnesota,Aitkin,46.6443915,-93.1271635,"Tamarack, MN",57,Yes,,Cuyuna Iron Range,Talon Metals,BVI,https://talonmetals.com,Talon Metals Corp,UK,-,142.0,9,Yes,Yes,395,2.0,DOD & DOE,2022/2024,Grant,134.0,Processing/Exploration,Yes,Public and Private,State,,-,,,-,,
Graphite,BAMA,Undetermined,,Yes-- Active,Exploration,No,Alabama,Chilton ,18.7778874,100.773732,"Sylacauga, AL",12216,Yes,,,Alambama Graphite Products LLC,US,https://gbml.ca/news-releases/global-battery-metals-to-exit-nickel-copper-exploration-program-at-sawyer-camp/,Westwater Resources,US,Yes,,,Yes,-,,,,,,,,-,Private,,2018.0,-,,,-,,
Graphite,BamaStar,Surface,,Yes-- Abandoned,Exploration,No,Alabama,Coosa,32.944012,-85.9538532,"Alexander City, AL",18843,Yes,,Alabama Graphite Belt,South Star Battery Metals Corp,CA,https://www.southstarbatterymetals.com/ceylon-graphite-project/,,,Yes,27.6,,Yes,-,,1.0,DOD,2023,Grant,3.2,Feasibility Study,-,Private,,,-,,,-,,
Graphite,Coosa,Surface,,No-- New Development,Development,No,Alabama,Coosa,33.170482,-86.2514099,"Sylacauga, AL",12578,Yes,,Alabama Graphite Belt,Alabama Graphite,CA,https://westwaterresources.net/projects/graphite/coosa-graphite-project/,"Westwater Resources, Inc",US,-,52.0,19,Yes,Yes,336,1.0,DOD,,,3.2,Feasibility Study,-,Private,,2012.0,-,,,-,,
Graphite,Graphite Creek,Surface,,No-- New Development,Exploration,Yes,Alaska,Nome Census Area,64.4975098,-165.4061701,"Nome, AK",3699,Yes,Port Clarence,,Graphite One Resources,CA,https://www.graphiteoneinc.com,,,-,17000.0,22,Yes,Yes,363,1.0,DOD,2023,Grant,37.5,Feasibility Study,-,Public,State,,-,,,-,,
Manganese,Emily/Cuyuna,Surface,Cobalt,Yes-- Abandoned,Exploration,No,Minnesota,Crow Wing,46.5169062,-93.9230366,"Cuyuna, MN",296,Yes,Cuyuna Iron Range,Duluth Complex (Maturi Deposit),North Star Manganese,CA,https://nsmanganese.com,Nevada Silver Corporation,US,Yes,,,Yes,Yes,,,,,,,,-,Private,,,-,,,-,,
Manganese,Hermosa/Patagonia,Underground,"Copper, Silver, Lead, Zinc",Yes-- Abandoned,Development,Yes,Arizona,Santa Cruz,31.3402134,-110.936081,"Nogales, AZ",19770,Yes,Harshaw,,South 32,AU,https://www.south32.net/what-we-do/our-locations/americas/hermosa,South32,AU,Yes,226.0,30,Yes,Yes,1700,2.0,DOD & DOE,2024,Grant,136.0,Manganese project/ Processing,-,Private,,2018.0,Yes,,Federal,Yes,District & Circuit,https://cdn.ca9.uscourts.gov/datastore/memoranda/2024/05/15/23-16167.pdf.
